Year,Winner,Diff,Ratio,Winning,Losing,Winning Conference
1967,Green Bay,25,3.5,35,10,NFL
1968,Green Bay,19,2.357142857142857,33,14,NFL
1969,NY Jets,9,2.2857142857142856,16,7,AFL
1970,Kansas City,16,3.2857142857142856,23,7,AFL
1971,Baltimore,3,1.2307692307692308,16,13,NFL
1972,Dallas,21,8,24,3,NFL
1973,Miami,7,2,14,7,AFL
1974,Miami,17,3.4285714285714284,24,7,AFL
1975,Pittsburgh,10,2.6666666666666665,16,6,NFL
1976,Pittsburgh,4,1.2352941176470589,21,17,NFL
1977,Oakland,18,2.2857142857142856,32,14,AFL
1978,Dallas,17,2.7,27,10,NFL
1979,Pittsburgh,4,1.1290322580645162,35,31,NFL
1980,Pittsburgh,12,1.631578947368421,31,19,NFL
1981,Oakland,17,2.7,27,10,AFL
1982,San Francisco,5,1.2380952380952381,26,21,NFL
1983,Washington,10,1.588235294117647,27,17,NFL
1984,LA Raiders,29,4.222222222222222,38,9,AFL
1985,San Francisco,22,2.375,38,16,NFL
1986,Chicago,36,4.6,46,10,NFL
1987,NY Giants,19,1.95,39,20,NFL
1988,Washington,32,4.2,42,10,NFL
1989,San Francisco,4,1.25,20,16,NFL
1990,San Francisco,45,5.5,55,10,NFL
1991,NY Giants,1,1.0526315789473684,20,19,NFL
1992,Washington,13,1.5416666666666667,37,24,NFL
1993,Dallas,35,3.0588235294117645,52,17,NFL
1994,Dallas,17,2.3076923076923075,30,13,NFL
1995,San Francisco,23,1.8846153846153846,49,26,NFL
1996,Dallas,10,1.588235294117647,27,17,NFL
1997,Green Bay,14,1.6666666666666667,35,21,NFL
1998,Denver,7,1.2916666666666667,31,24,AFL
1999,Denver,15,1.7894736842105263,34,19,AFL
2000,St Louis,7,1.4375,23,16,NFL
2001,Baltimore,27,4.857142857142857,34,7,NFL
2002,New England,3,1.1764705882352942,20,17,AFL
2003,Tampa Bay,27,2.2857142857142856,48,21,NFL
2004,New England,3,1.103448275862069,32,29,AFL
2005,New England,3,1.1428571428571428,24,21,AFL
2006,Pittsburgh,11,2.1,21,10,NFL
2007,Indianapolis Colts,12,1.7058823529411764,29,17,NFL
2008,New York Giants,3,1.2142857142857142,17,14,NFL
2009,Pittsburgh Steelers,4,1.173913043478261,27,23,NFL
2010,New Orleans Saints,14,1.8235294117647058,31,17,NFL
2011,Green Bay Packers,6,1.24,31,25,NFL
2012,New York Giants,4,1.2352941176470589,21,17,NFL
2013,Baltimore Ravens,3,1.096774193548387,34,31,NFL
2014,Seattle Seahawks,35,5.375,43,8,NFL
2015,New England Patriots,4,1.1666666666666667,28,24,AFL
2016,Denver Broncos,14,2.4,24,10,AFL
2017,New England Patriots,6,1.2142857142857142,34,28,AFL
2018,Philadelphia Eagles,8,1.2424242424242424,41,33,NFL